age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,wage_class
39,4,77516,13,13,5,11,4,4,1,2174,0,40,41,1
50,7,83311,13,13,6,12,5,4,1,0,0,13,41,1
38,8,215646,15,9,4,5,4,4,1,0,0,40,41,1
53,8,234721,10,7,6,5,5,3,1,0,0,40,41,1
28,8,338409,13,13,6,14,1,3,0,0,0,40,32,1
37,8,284582,12,14,6,12,1,4,0,0,0,40,41,1
49,8,160187,5,5,1,9,4,3,0,0,0,16,30,1
52,7,209642,15,9,6,12,5,4,1,0,0,45,41,0
31,8,45781,12,14,5,14,4,4,0,14084,0,50,41,0
42,8,159449,13,13,6,12,5,4,1,5178,0,40,41,0
37,8,280464,14,10,6,12,5,3,1,0,0,40,41,0
30,4,141297,13,13,6,14,5,2,1,0,0,40,33,0
23,8,122272,13,13,5,11,3,4,0,0,0,30,41,1
32,8,205019,9,12,5,10,4,3,1,0,0,50,41,1
40,8,121772,11,11,6,13,5,2,1,0,0,40,39,0
34,8,245487,7,4,6,6,5,1,1,0,0,45,40,1
25,7,176756,15,9,5,4,3,4,1,0,0,35,41,1
32,8,186824,15,9,5,8,2,4,1,0,0,40,41,1
38,8,28887,10,7,6,10,5,4,1,0,0,50,41,1
43,7,292175,12,14,4,12,2,4,0,0,0,45,41,0
40,8,193524,3,16,6,14,5,4,1,0,0,60,41,0
54,8,302146,15,9,3,9,2,3,0,0,0,20,41,1
35,2,76845,5,5,6,4,5,3,1,0,0,40,41,1
43,8,117037,10,7,6,6,5,4,1,0,0,40,41,1
59,8,109015,15,9,4,3,2,4,0,0,0,40,41,1
56,6,216851,13,13,6,3,5,4,1,0,0,40,41,0
19,8,168294,15,9,5,13,3,4,1,0,0,40,41,1
54,5,180211,14,10,6,7,5,2,1,0,0,60,29,0
39,8,367260,15,9,4,12,4,4,1,0,0,40,41,1
49,8,193366,15,9,6,13,5,4,1,0,0,40,41,1
23,6,190709,9,12,5,2,4,4,1,0,0,52,41,1
20,8,266015,14,10,5,10,3,3,1,0,0,44,41,1
45,8,386940,13,13,4,12,3,4,1,0,0,40,41,1
30,2,59951,14,10,6,11,3,4,1,0,0,40,41,1
22,4,311512,14,10,6,9,5,3,1,0,0,15,41,1
48,8,242406,10,7,5,8,2,4,1,0,0,40,35,1
21,8,197200,14,10,5,8,3,4,1,0,0,40,41,1
19,8,178356,15,9,0,11,1,4,0,0,0,25,41,1
31,8,84154,14,10,6,10,5,4,1,0,0,38,39,0
48,7,265477,9,12,6,14,5,4,1,0,0,40,41,1
31,8,178356,5,5,6,8,5,4,1,0,0,43,41,1
53,7,88506,13,13,6,14,5,4,1,0,0,40,41,1
24,8,172987,13,13,6,3,5,4,1,0,0,50,41,1
49,8,94638,15,9,3,11,2,4,0,0,0,40,41,1
25,8,289980,15,9,5,5,4,4,1,0,0,35,41,1
57,2,337895,13,13,6,14,5,3,1,0,0,40,41,0
53,8,144361,15,9,6,8,5,4,1,0,0,38,41,1
44,8,128354,12,14,4,12,2,4,0,0,0,40,41,1
41,4,101603,11,11,6,13,5,4,1,0,0,40,41,1
29,8,271466,11,11,5,14,4,4,1,0,0,43,41,1
25,8,32275,14,10,6,12,1,0,0,0,0,40,41,1
18,8,226956,15,9,5,9,3,4,0,0,0,30,39,1
47,8,51835,6,15,6,14,1,4,0,0,0,60,2,0
50,2,251585,13,13,4,12,4,4,1,0,0,55,41,0
47,3,109832,15,9,4,12,4,4,1,0,0,60,41,1
43,8,237993,14,10,6,3,5,4,1,0,0,40,41,0
46,8,216666,2,3,6,8,5,4,1,0,0,40,40,1
35,8,56352,11,11,6,9,5,4,1,0,0,40,35,1
41,8,147372,15,9,6,11,5,4,1,0,0,48,41,1
30,8,188146,15,9,6,8,5,4,1,5013,0,40,41,1
30,8,59496,13,13,6,10,5,4,1,2407,0,40,41,1
32,5,293936,7,4,1,7,4,4,1,0,0,40,39,1
48,8,149640,15,9,6,6,5,4,1,0,0,40,41,1
42,8,116632,3,16,6,14,5,4,1,0,0,45,41,0
29,8,105598,14,10,4,3,4,4,1,0,0,58,41,1
36,8,155537,15,9,6,13,5,4,1,0,0,40,41,1
28,8,183175,14,10,4,11,4,4,0,0,0,40,41,1
53,8,169846,15,9,6,11,1,4,0,0,0,40,41,0
49,3,191681,14,10,6,12,5,4,1,0,0,50,41,0
25,5,200681,14,10,5,7,3,4,1,0,0,40,41,1
19,8,101509,14,10,5,14,3,4,1,0,0,32,41,1
31,8,309974,13,13,3,10,3,3,0,0,0,40,41,1
29,7,162298,13,13,6,10,5,4,1,0,0,70,41,0
23,8,211678,14,10,5,8,4,4,1,0,0,40,41,1
79,8,124744,14,10,6,14,0,4,1,0,0,20,41,1
27,8,213921,15,9,5,9,3,4,1,0,0,40,40,1
40,8,32214,9,12,6,11,5,4,1,0,0,40,41,1
67,5,212759,8,6,6,7,5,4,1,0,0,2,41,1
18,8,309634,10,7,5,9,3,4,0,0,0,22,41,1
31,6,125927,7,4,6,4,5,4,1,0,0,40,41,1
18,8,446839,15,9,5,10,4,4,1,0,0,30,41,1
52,8,276515,13,13,6,9,5,4,1,0,0,40,32,1
46,8,51618,15,9,6,9,1,4,0,0,0,40,41,1
59,8,159937,15,9,6,10,5,4,1,0,0,48,41,1
44,8,343591,15,9,4,13,4,4,0,14344,0,40,41,0
53,8,346253,15,9,4,10,3,4,0,0,0,35,41,1
49,6,268234,15,9,6,2,5,4,1,0,0,40,41,0
33,8,202051,12,14,6,14,5,4,1,0,0,50,41,1
30,8,54334,5,5,5,10,4,4,1,0,0,40,41,1
43,2,410867,3,16,5,14,4,4,0,0,0,50,41,0
57,8,249977,11,11,6,14,5,4,1,0,0,40,41,1
37,8,286730,14,10,4,13,2,4,0,0,0,40,41,1
28,8,212563,14,10,4,8,2,3,0,0,0,25,41,1
30,8,117747,15,9,6,10,1,2,0,0,0,35,39,1
34,6,226296,13,13,6,2,5,4,1,0,0,40,41,0
29,6,115585,14,10,5,5,4,4,1,0,0,50,41,1
48,7,191277,3,16,6,14,5,4,1,0,0,60,41,0
37,8,202683,14,10,6,10,5,4,1,0,0,48,41,0
48,8,171095,9,12,4,12,2,4,0,0,0,40,31,1
32,2,249409,15,9,5,9,3,3,1,0,0,40,41,1
76,8,124191,12,14,6,12,5,4,1,0,0,40,41,0
44,8,198282,13,13,6,12,5,4,1,15024,0,60,41,0
47,7,149116,12,14,5,14,4,4,0,0,0,50,41,1
20,8,188300,14,10,5,3,3,4,0,0,0,40,41,1
29,8,103432,15,9,5,13,4,4,1,0,0,40,41,1
32,3,317660,15,9,6,13,5,4,1,7688,0,40,41,0
17,5,304873,8,6,5,7,3,4,0,0,0,32,41,1
30,8,194901,10,7,5,5,3,4,1,0,0,40,41,1
31,6,189265,15,9,5,11,4,4,0,0,0,40,41,1
42,8,124692,15,9,6,5,5,4,1,0,0,40,41,1
24,8,432376,13,13,5,10,0,4,1,0,0,40,41,1
38,8,65324,6,15,6,14,5,4,1,0,0,40,41,0
56,7,335605,15,9,6,9,5,4,1,0,0,50,36,0
28,8,377869,14,10,6,10,1,4,0,4064,0,25,41,1
36,8,102864,15,9,5,8,3,4,0,0,0,40,41,1
53,8,95647,5,5,6,5,5,4,1,0,0,50,41,1
56,3,303090,14,10,6,10,5,4,1,0,0,50,41,1
49,6,197371,11,11,6,13,5,3,1,0,0,40,41,0
55,8,247552,14,10,6,10,5,4,1,0,0,56,41,1
22,8,102632,15,9,5,13,4,4,1,0,0,41,41,1
21,8,199915,14,10,5,9,3,4,0,0,0,40,41,1
40,8,118853,13,13,6,12,5,4,1,0,0,60,41,1
30,8,77143,13,13,5,12,3,3,1,0,0,40,37,1
